organization,title,name,contact,term_end,towns,next_update
Nassau County,Executive,Bruce Blakeman,bblakeman@nassaucountyny.gov,2028-12-31,Freeport;Merrick;Bellmore;Wantagh;Seaford;Massapequa;Massapequa Park;Farmingdale,2032
Nassau County,District Attorney,Anne Donnelly,anne.donnelly@nassauda.org,2029-12-31,Freeport;Merrick;Bellmore;Wantagh;Seaford;Massapequa;Massapequa Park;Farmingdale,2033
Nassau County,Comptroller,Elaine Phillips,ephillips@nassaucountyny.gov,2028-12-31,Freeport;Merrick;Bellmore;Wantagh;Seaford;Massapequa;Massapequa Park;Farmingdale,2032
Nassau County,Clerk,Maureen O'Connell,moconnell@nassaucountyny.gov,2029-12-31,Freeport;Merrick;Bellmore;Wantagh;Seaford;Massapequa;Massapequa Park;Farmingdale,2033
Suffolk County,Executive,Ed Romaine,county.executive@suffolkcountyny.gov,2027-12-31,Amityville;Copiague;Lindenhurst,2030
Suffolk County,District Attorney,Ray Tierney,infoda@suffolkcountyny.gov,2029-12-31,Amityville;Copiague;Lindenhurst,2033
Suffolk County,Comptroller,John Kennedy,comptroller@suffolkcountyny.gov,2028-12-31,Amityville;Copiague;Lindenhurst,2032
Suffolk County,Clerk,Vincent Puleo,vincent.puleo@suffolkcountyny.gov,2029-12-31,Amityville;Copiague;Lindenhurst,2033
Town of Babylon,Supervisor,Rich Schaffer,rschaffer@townofbabylonny.gov,2026-12-31,Amityville;Copiague;Lindenhurst,2028
Town of Babylon,Clerk,Janina Martinez,jmartinez@townofbabylonny.gov,2026-12-31,Amityville;Copiague;Lindenhurst,2028
Town of Oyster Bay,Supervisor,Joe Saladino,josephsaladino@oysterbay-ny.gov,2026-12-31,Massapequa;Massapequa Park;Farmingdale,2028
Town of Oyster Bay,Clerk,Rich LaMarca,rlamarca@oysterbay-ny.gov,2026-12-31,Massapequa;Massapequa Park;Farmingdale,2028
Town of Hempstead,Supervisor,John Ferretti,jferretti@hempsteadny.gov,2026-12-31,Freeport;Merrick;Bellmore;Wantagh;Seaford,2028
Town of Hempstead,Clerk,Kate Murray,kmurray@hempsteadny.gov,2026-12-31,Freeport;Merrick;Bellmore;Wantagh;Seaford,2028
